mode_value,landuse_name,s1_name,s2_name
17,ROIs1970_fall/lc_25/ROIs1970_fall_lc_25_p762.tif,ROIs1970_fall/s1_25/ROIs1970_fall_s1_25_p762.tif,ROIs1970_fall/s2_25/ROIs1970_fall_s2_25_p762.tif
11,ROIs1970_fall/lc_100/ROIs1970_fall_lc_100_p436.tif,ROIs1970_fall/s1_100/ROIs1970_fall_s1_100_p436.tif,ROIs1970_fall/s2_100/ROIs1970_fall_s2_100_p436.tif
14,ROIs1970_fall/lc_109/ROIs1970_fall_lc_109_p426.tif,ROIs1970_fall/s1_109/ROIs1970_fall_s1_109_p426.tif,ROIs1970_fall/s2_109/ROIs1970_fall_s2_109_p426.tif
2,ROIs1158_spring/lc_9/ROIs1158_spring_lc_9_p400.tif,ROIs1158_spring/s1_9/ROIs1158_spring_s1_9_p400.tif,ROIs1158_spring/s2_9/ROIs1158_spring_s2_9_p400.tif
9,ROIs1868_summer/lc_63/ROIs1868_summer_lc_63_p761.tif,ROIs1868_summer/s1_63/ROIs1868_summer_s1_63_p761.tif,ROIs1868_summer/s2_63/ROIs1868_summer_s2_63_p761.tif
8,ROIs2017_winter/lc_126/ROIs2017_winter_lc_126_p805.tif,ROIs2017_winter/s1_126/ROIs2017_winter_s1_126_p805.tif,ROIs2017_winter/s2_126/ROIs2017_winter_s2_126_p805.tif
2,ROIs1868_summer/lc_86/ROIs1868_summer_lc_86_p509.tif,ROIs1868_summer/s1_86/ROIs1868_summer_s1_86_p509.tif,ROIs1868_summer/s2_86/ROIs1868_summer_s2_86_p509.tif
13,ROIs1970_fall/lc_139/ROIs1970_fall_lc_139_p717.tif,ROIs1970_fall/s1_139/ROIs1970_fall_s1_139_p717.tif,ROIs1970_fall/s2_139/ROIs1970_fall_s2_139_p717.tif
9,ROIs1158_spring/lc_15/ROIs1158_spring_lc_15_p804.tif,ROIs1158_spring/s1_15/ROIs1158_spring_s1_15_p804.tif,ROIs1158_spring/s2_15/ROIs1158_spring_s2_15_p804.tif
2,ROIs1868_summer/lc_86/ROIs1868_summer_lc_86_p446.tif,ROIs1868_summer/s1_86/ROIs1868_summer_s1_86_p446.tif,ROIs1868_summer/s2_86/ROIs1868_summer_s2_86_p446.tif
11,ROIs1970_fall/lc_105/ROIs1970_fall_lc_105_p229.tif,ROIs1970_fall/s1_105/ROIs1970_fall_s1_105_p229.tif,ROIs1970_fall/s2_105/ROIs1970_fall_s2_105_p229.tif
11,ROIs2017_winter/lc_119/ROIs2017_winter_lc_119_p164.tif,ROIs2017_winter/s1_119/ROIs2017_winter_s1_119_p164.tif,ROIs2017_winter/s2_119/ROIs2017_winter_s2_119_p164.tif
