mode_value,filename
10,ROIs1970_fall_lc_1_p100
10,ROIs1970_fall_lc_1_p101
10,ROIs1970_fall_lc_1_p102
10,ROIs1970_fall_lc_1_p103
10,ROIs1970_fall_lc_1_p104
10,ROIs1970_fall_lc_1_p105
10,ROIs1970_fall_lc_1_p106
10,ROIs1970_fall_lc_1_p107
10,ROIs1970_fall_lc_1_p108
10,ROIs1970_fall_lc_1_p109
10,ROIs1970_fall_lc_1_p110
10,ROIs1970_fall_lc_1_p111
10,ROIs1970_fall_lc_1_p112
10,ROIs1970_fall_lc_1_p113
10,ROIs1970_fall_lc_1_p114
10,ROIs1970_fall_lc_1_p115
10,ROIs1970_fall_lc_1_p116
10,ROIs1970_fall_lc_1_p117
10,ROIs1970_fall_lc_1_p118
10,ROIs1970_fall_lc_1_p119
10,ROIs1970_fall_lc_1_p120
10,ROIs1970_fall_lc_1_p121
10,ROIs1970_fall_lc_1_p122
10,ROIs1970_fall_lc_1_p125
10,ROIs1970_fall_lc_1_p126
10,ROIs1970_fall_lc_1_p127
10,ROIs1970_fall_lc_1_p128
10,ROIs1970_fall_lc_1_p129
10,ROIs1970_fall_lc_1_p130
10,ROIs1970_fall_lc_1_p131
10,ROIs1970_fall_lc_1_p132
10,ROIs1970_fall_lc_1_p133
10,ROIs1970_fall_lc_1_p134
10,ROIs1970_fall_lc_1_p135
10,ROIs1970_fall_lc_1_p136
10,ROIs1970_fall_lc_1_p137
10,ROIs1970_fall_lc_1_p138
10,ROIs1970_fall_lc_1_p139
10,ROIs1970_fall_lc_1_p140
10,ROIs1970_fall_lc_1_p141
10,ROIs1970_fall_lc_1_p142
10,ROIs1970_fall_lc_1_p143
10,ROIs1970_fall_lc_1_p144
10,ROIs1970_fall_lc_1_p145
10,ROIs1970_fall_lc_1_p146
10,ROIs1970_fall_lc_1_p147
10,ROIs1970_fall_lc_1_p148
10,ROIs1970_fall_lc_1_p149
10,ROIs1970_fall_lc_1_p150
10,ROIs1970_fall_lc_1_p151
10,ROIs1970_fall_lc_1_p152
10,ROIs1970_fall_lc_1_p153
10,ROIs1970_fall_lc_1_p156
10,ROIs1970_fall_lc_1_p157
10,ROIs1970_fall_lc_1_p158
10,ROIs1970_fall_lc_1_p159
10,ROIs1970_fall_lc_1_p160
10,ROIs1970_fall_lc_1_p161
10,ROIs1970_fall_lc_1_p162
10,ROIs1970_fall_lc_1_p163
10,ROIs1970_fall_lc_1_p164
10,ROIs1970_fall_lc_1_p165
10,ROIs1970_fall_lc_1_p166
10,ROIs1970_fall_lc_1_p167
10,ROIs1970_fall_lc_1_p168
10,ROIs1970_fall_lc_1_p169
10,ROIs1970_fall_lc_1_p170
10,ROIs1970_fall_lc_1_p171
10,ROIs1970_fall_lc_1_p172
10,ROIs1970_fall_lc_1_p173
10,ROIs1970_fall_lc_1_p174
10,ROIs1970_fall_lc_1_p175
10,ROIs1970_fall_lc_1_p176
10,ROIs1970_fall_lc_1_p177
10,ROIs1970_fall_lc_1_p178
10,ROIs1970_fall_lc_1_p179
10,ROIs1970_fall_lc_1_p180
10,ROIs1970_fall_lc_1_p181
10,ROIs1970_fall_lc_1_p182
10,ROIs1970_fall_lc_1_p183
10,ROIs1970_fall_lc_1_p184
10,ROIs1970_fall_lc_1_p187
10,ROIs1970_fall_lc_1_p188
10,ROIs1970_fall_lc_1_p189
10,ROIs1970_fall_lc_1_p190
10,ROIs1970_fall_lc_1_p191
10,ROIs1970_fall_lc_1_p192
10,ROIs1970_fall_lc_1_p193
10,ROIs1970_fall_lc_1_p194
10,ROIs1970_fall_lc_1_p195
10,ROIs1970_fall_lc_1_p196
10,ROIs1970_fall_lc_1_p197
10,ROIs1970_fall_lc_1_p198
10,ROIs1970_fall_lc_1_p199
10,ROIs1970_fall_lc_1_p200
10,ROIs1970_fall_lc_1_p201
10,ROIs1970_fall_lc_1_p202
10,ROIs1970_fall_lc_1_p203
10,ROIs1970_fall_lc_1_p204
10,ROIs1970_fall_lc_1_p205
10,ROIs1970_fall_lc_1_p206
10,ROIs1970_fall_lc_1_p207
10,ROIs1970_fall_lc_1_p208
10,ROIs1970_fall_lc_1_p209
10,ROIs1970_fall_lc_1_p210
10,ROIs1970_fall_lc_1_p211
10,ROIs1970_fall_lc_1_p212
10,ROIs1970_fall_lc_1_p213
10,ROIs1970_fall_lc_1_p214
10,ROIs1970_fall_lc_1_p215
10,ROIs1970_fall_lc_1_p218
10,ROIs1970_fall_lc_1_p219
