mode_value,filename
10,ROIs1158_spring_lc_1_p100
10,ROIs1158_spring_lc_1_p101
8,ROIs1158_spring_lc_1_p102
9,ROIs1158_spring_lc_1_p103
9,ROIs1158_spring_lc_1_p104
9,ROIs1158_spring_lc_1_p105
9,ROIs1158_spring_lc_1_p106
9,ROIs1158_spring_lc_1_p107
9,ROIs1158_spring_lc_1_p108
9,ROIs1158_spring_lc_1_p109
10,ROIs1158_spring_lc_1_p110
10,ROIs1158_spring_lc_1_p111
9,ROIs1158_spring_lc_1_p112
9,ROIs1158_spring_lc_1_p113
9,ROIs1158_spring_lc_1_p114
9,ROIs1158_spring_lc_1_p115
8,ROIs1158_spring_lc_1_p117
8,ROIs1158_spring_lc_1_p118
8,ROIs1158_spring_lc_1_p119
8,ROIs1158_spring_lc_1_p120
8,ROIs1158_spring_lc_1_p121
10,ROIs1158_spring_lc_1_p122
10,ROIs1158_spring_lc_1_p123
10,ROIs1158_spring_lc_1_p124
10,ROIs1158_spring_lc_1_p125
10,ROIs1158_spring_lc_1_p126
10,ROIs1158_spring_lc_1_p127
10,ROIs1158_spring_lc_1_p128
10,ROIs1158_spring_lc_1_p129
10,ROIs1158_spring_lc_1_p130
10,ROIs1158_spring_lc_1_p131
9,ROIs1158_spring_lc_1_p132
9,ROIs1158_spring_lc_1_p133
10,ROIs1158_spring_lc_1_p134
9,ROIs1158_spring_lc_1_p135
9,ROIs1158_spring_lc_1_p136
9,ROIs1158_spring_lc_1_p137
9,ROIs1158_spring_lc_1_p138
9,ROIs1158_spring_lc_1_p139
10,ROIs1158_spring_lc_1_p140
9,ROIs1158_spring_lc_1_p141
9,ROIs1158_spring_lc_1_p142
9,ROIs1158_spring_lc_1_p143
9,ROIs1158_spring_lc_1_p144
8,ROIs1158_spring_lc_1_p146
8,ROIs1158_spring_lc_1_p147
9,ROIs1158_spring_lc_1_p148
8,ROIs1158_spring_lc_1_p149
8,ROIs1158_spring_lc_1_p150
8,ROIs1158_spring_lc_1_p151
8,ROIs1158_spring_lc_1_p152
8,ROIs1158_spring_lc_1_p153
10,ROIs1158_spring_lc_1_p154
9,ROIs1158_spring_lc_1_p155
9,ROIs1158_spring_lc_1_p156
9,ROIs1158_spring_lc_1_p157
10,ROIs1158_spring_lc_1_p158
10,ROIs1158_spring_lc_1_p159
10,ROIs1158_spring_lc_1_p160
9,ROIs1158_spring_lc_1_p161
10,ROIs1158_spring_lc_1_p162
10,ROIs1158_spring_lc_1_p163
10,ROIs1158_spring_lc_1_p164
9,ROIs1158_spring_lc_1_p165
9,ROIs1158_spring_lc_1_p166
9,ROIs1158_spring_lc_1_p167
9,ROIs1158_spring_lc_1_p168
9,ROIs1158_spring_lc_1_p169
9,ROIs1158_spring_lc_1_p170
9,ROIs1158_spring_lc_1_p171
10,ROIs1158_spring_lc_1_p172
10,ROIs1158_spring_lc_1_p173
10,ROIs1158_spring_lc_1_p175
9,ROIs1158_spring_lc_1_p176
9,ROIs1158_spring_lc_1_p177
8,ROIs1158_spring_lc_1_p178
8,ROIs1158_spring_lc_1_p179
8,ROIs1158_spring_lc_1_p180
8,ROIs1158_spring_lc_1_p181
8,ROIs1158_spring_lc_1_p182
9,ROIs1158_spring_lc_1_p183
9,ROIs1158_spring_lc_1_p184
9,ROIs1158_spring_lc_1_p185
10,ROIs1158_spring_lc_1_p186
10,ROIs1158_spring_lc_1_p187
10,ROIs1158_spring_lc_1_p188
10,ROIs1158_spring_lc_1_p189
10,ROIs1158_spring_lc_1_p190
10,ROIs1158_spring_lc_1_p191
10,ROIs1158_spring_lc_1_p192
10,ROIs1158_spring_lc_1_p193
9,ROIs1158_spring_lc_1_p194
9,ROIs1158_spring_lc_1_p195
9,ROIs1158_spring_lc_1_p196
9,ROIs1158_spring_lc_1_p197
9,ROIs1158_spring_lc_1_p198
10,ROIs1158_spring_lc_1_p199
10,ROIs1158_spring_lc_1_p200
10,ROIs1158_spring_lc_1_p201
10,ROIs1158_spring_lc_1_p202
10,ROIs1158_spring_lc_1_p204
10,ROIs1158_spring_lc_1_p205
8,ROIs1158_spring_lc_1_p206
8,ROIs1158_spring_lc_1_p207
8,ROIs1158_spring_lc_1_p208
8,ROIs1158_spring_lc_1_p209
8,ROIs1158_spring_lc_1_p210
8,ROIs1158_spring_lc_1_p211
9,ROIs1158_spring_lc_1_p212
9,ROIs1158_spring_lc_1_p213
10,ROIs1158_spring_lc_1_p214
10,ROIs1158_spring_lc_1_p215
10,ROIs1158_spring_lc_1_p216
10,ROIs1158_spring_lc_1_p217
10,ROIs1158_spring_lc_1_p218
10,ROIs1158_spring_lc_1_p219
10,ROIs1158_spring_lc_1_p220
10,ROIs1158_spring_lc_1_p221
9,ROIs1158_spring_lc_1_p222
9,ROIs1158_spring_lc_1_p223
9,ROIs1158_spring_lc_1_p224
9,ROIs1158_spring_lc_1_p225
9,ROIs1158_spring_lc_1_p226
9,ROIs1158_spring_lc_1_p227
10,ROIs1158_spring_lc_1_p228
10,ROIs1158_spring_lc_1_p229
10,ROIs1158_spring_lc_1_p230
10,ROIs1158_spring_lc_1_p231
10,ROIs1158_spring_lc_1_p233
10,ROIs1158_spring_lc_1_p234
8,ROIs1158_spring_lc_1_p235
8,ROIs1158_spring_lc_1_p236
8,ROIs1158_spring_lc_1_p237
8,ROIs1158_spring_lc_1_p238
8,ROIs1158_spring_lc_1_p239
9,ROIs1158_spring_lc_1_p240
9,ROIs1158_spring_lc_1_p241
10,ROIs1158_spring_lc_1_p242
10,ROIs1158_spring_lc_1_p243
10,ROIs1158_spring_lc_1_p244
10,ROIs1158_spring_lc_1_p245
10,ROIs1158_spring_lc_1_p246
10,ROIs1158_spring_lc_1_p247
10,ROIs1158_spring_lc_1_p248
10,ROIs1158_spring_lc_1_p249
10,ROIs1158_spring_lc_1_p250
9,ROIs1158_spring_lc_1_p251
10,ROIs1158_spring_lc_1_p252
10,ROIs1158_spring_lc_1_p253
9,ROIs1158_spring_lc_1_p254
9,ROIs1158_spring_lc_1_p255
12,ROIs1158_spring_lc_1_p256
12,ROIs1158_spring_lc_1_p257
12,ROIs1158_spring_lc_1_p258
10,ROIs1158_spring_lc_1_p259
10,ROIs1158_spring_lc_1_p260
8,ROIs1158_spring_lc_1_p262
9,ROIs1158_spring_lc_1_p263
9,ROIs1158_spring_lc_1_p264
8,ROIs1158_spring_lc_1_p265
8,ROIs1158_spring_lc_1_p266
8,ROIs1158_spring_lc_1_p267
8,ROIs1158_spring_lc_1_p268
9,ROIs1158_spring_lc_1_p269
9,ROIs1158_spring_lc_1_p270
10,ROIs1158_spring_lc_1_p271
10,ROIs1158_spring_lc_1_p272
10,ROIs1158_spring_lc_1_p273
10,ROIs1158_spring_lc_1_p274
10,ROIs1158_spring_lc_1_p275
10,ROIs1158_spring_lc_1_p276
10,ROIs1158_spring_lc_1_p277
10,ROIs1158_spring_lc_1_p278
10,ROIs1158_spring_lc_1_p279
10,ROIs1158_spring_lc_1_p280
10,ROIs1158_spring_lc_1_p281
10,ROIs1158_spring_lc_1_p282
9,ROIs1158_spring_lc_1_p283
10,ROIs1158_spring_lc_1_p284
12,ROIs1158_spring_lc_1_p285
12,ROIs1158_spring_lc_1_p286
12,ROIs1158_spring_lc_1_p287
12,ROIs1158_spring_lc_1_p288
10,ROIs1158_spring_lc_1_p289
8,ROIs1158_spring_lc_1_p291
9,ROIs1158_spring_lc_1_p292
9,ROIs1158_spring_lc_1_p293
9,ROIs1158_spring_lc_1_p294
9,ROIs1158_spring_lc_1_p295
9,ROIs1158_spring_lc_1_p296
8,ROIs1158_spring_lc_1_p297
9,ROIs1158_spring_lc_1_p298
9,ROIs1158_spring_lc_1_p299
10,ROIs1158_spring_lc_1_p300
10,ROIs1158_spring_lc_1_p301
10,ROIs1158_spring_lc_1_p302
10,ROIs1158_spring_lc_1_p303
10,ROIs1158_spring_lc_1_p304
10,ROIs1158_spring_lc_1_p305
10,ROIs1158_spring_lc_1_p306
10,ROIs1158_spring_lc_1_p307
10,ROIs1158_spring_lc_1_p308
10,ROIs1158_spring_lc_1_p309
10,ROIs1158_spring_lc_1_p310
9,ROIs1158_spring_lc_1_p311
10,ROIs1158_spring_lc_1_p312
10,ROIs1158_spring_lc_1_p313
10,ROIs1158_spring_lc_1_p314
10,ROIs1158_spring_lc_1_p315
10,ROIs1158_spring_lc_1_p316
12,ROIs1158_spring_lc_1_p317
9,ROIs1158_spring_lc_1_p318
8,ROIs1158_spring_lc_1_p32
9,ROIs1158_spring_lc_1_p320
9,ROIs1158_spring_lc_1_p321
10,ROIs1158_spring_lc_1_p322
10,ROIs1158_spring_lc_1_p323
9,ROIs1158_spring_lc_1_p324
9,ROIs1158_spring_lc_1_p325
9,ROIs1158_spring_lc_1_p326
9,ROIs1158_spring_lc_1_p327
9,ROIs1158_spring_lc_1_p328
10,ROIs1158_spring_lc_1_p329
8,ROIs1158_spring_lc_1_p33
10,ROIs1158_spring_lc_1_p330
10,ROIs1158_spring_lc_1_p331
10,ROIs1158_spring_lc_1_p332
10,ROIs1158_spring_lc_1_p333
10,ROIs1158_spring_lc_1_p334
10,ROIs1158_spring_lc_1_p335
10,ROIs1158_spring_lc_1_p336
10,ROIs1158_spring_lc_1_p337
10,ROIs1158_spring_lc_1_p338
9,ROIs1158_spring_lc_1_p339
8,ROIs1158_spring_lc_1_p34
9,ROIs1158_spring_lc_1_p340
9,ROIs1158_spring_lc_1_p341
9,ROIs1158_spring_lc_1_p342
10,ROIs1158_spring_lc_1_p343
10,ROIs1158_spring_lc_1_p344
10,ROIs1158_spring_lc_1_p345
12,ROIs1158_spring_lc_1_p346
9,ROIs1158_spring_lc_1_p347
9,ROIs1158_spring_lc_1_p349
8,ROIs1158_spring_lc_1_p35
8,ROIs1158_spring_lc_1_p350
10,ROIs1158_spring_lc_1_p351
10,ROIs1158_spring_lc_1_p352
10,ROIs1158_spring_lc_1_p353
9,ROIs1158_spring_lc_1_p354
9,ROIs1158_spring_lc_1_p355
9,ROIs1158_spring_lc_1_p356
9,ROIs1158_spring_lc_1_p357
9,ROIs1158_spring_lc_1_p358
9,ROIs1158_spring_lc_1_p359
10,ROIs1158_spring_lc_1_p36
12,ROIs1158_spring_lc_1_p360
12,ROIs1158_spring_lc_1_p361
10,ROIs1158_spring_lc_1_p362
10,ROIs1158_spring_lc_1_p363
10,ROIs1158_spring_lc_1_p364
10,ROIs1158_spring_lc_1_p365
10,ROIs1158_spring_lc_1_p366
10,ROIs1158_spring_lc_1_p367
11,ROIs1158_spring_lc_1_p368
10,ROIs1158_spring_lc_1_p369
10,ROIs1158_spring_lc_1_p37
10,ROIs1158_spring_lc_1_p370
10,ROIs1158_spring_lc_1_p371
11,ROIs1158_spring_lc_1_p372
11,ROIs1158_spring_lc_1_p373
10,ROIs1158_spring_lc_1_p374
12,ROIs1158_spring_lc_1_p375
12,ROIs1158_spring_lc_1_p376
9,ROIs1158_spring_lc_1_p378
9,ROIs1158_spring_lc_1_p379
10,ROIs1158_spring_lc_1_p38
10,ROIs1158_spring_lc_1_p380
10,ROIs1158_spring_lc_1_p381
10,ROIs1158_spring_lc_1_p382
9,ROIs1158_spring_lc_1_p383
9,ROIs1158_spring_lc_1_p384
9,ROIs1158_spring_lc_1_p385
9,ROIs1158_spring_lc_1_p386
9,ROIs1158_spring_lc_1_p387
9,ROIs1158_spring_lc_1_p388
9,ROIs1158_spring_lc_1_p389
10,ROIs1158_spring_lc_1_p39
9,ROIs1158_spring_lc_1_p390
