mode_value,filename
17,ROIs1868_summer_lc_100_p100
17,ROIs1868_summer_lc_100_p101
17,ROIs1868_summer_lc_100_p102
17,ROIs1868_summer_lc_100_p103
17,ROIs1868_summer_lc_100_p104
17,ROIs1868_summer_lc_100_p105
17,ROIs1868_summer_lc_100_p106
17,ROIs1868_summer_lc_100_p107
17,ROIs1868_summer_lc_100_p108
17,ROIs1868_summer_lc_100_p109
17,ROIs1868_summer_lc_100_p110
17,ROIs1868_summer_lc_100_p111
17,ROIs1868_summer_lc_100_p112
13,ROIs1868_summer_lc_100_p113
10,ROIs1868_summer_lc_100_p114
13,ROIs1868_summer_lc_100_p115
17,ROIs1868_summer_lc_100_p117
17,ROIs1868_summer_lc_100_p118
17,ROIs1868_summer_lc_100_p119
17,ROIs1868_summer_lc_100_p120
17,ROIs1868_summer_lc_100_p121
17,ROIs1868_summer_lc_100_p122
17,ROIs1868_summer_lc_100_p123
17,ROIs1868_summer_lc_100_p124
17,ROIs1868_summer_lc_100_p125
17,ROIs1868_summer_lc_100_p126
17,ROIs1868_summer_lc_100_p127
17,ROIs1868_summer_lc_100_p128
17,ROIs1868_summer_lc_100_p129
17,ROIs1868_summer_lc_100_p130
17,ROIs1868_summer_lc_100_p131
17,ROIs1868_summer_lc_100_p132
17,ROIs1868_summer_lc_100_p133
17,ROIs1868_summer_lc_100_p134
17,ROIs1868_summer_lc_100_p135
17,ROIs1868_summer_lc_100_p136
17,ROIs1868_summer_lc_100_p137
17,ROIs1868_summer_lc_100_p138
17,ROIs1868_summer_lc_100_p139
17,ROIs1868_summer_lc_100_p140
9,ROIs1868_summer_lc_100_p141
10,ROIs1868_summer_lc_100_p142
10,ROIs1868_summer_lc_100_p143
10,ROIs1868_summer_lc_100_p144
17,ROIs1868_summer_lc_100_p146
17,ROIs1868_summer_lc_100_p147
17,ROIs1868_summer_lc_100_p148
8,ROIs1868_summer_lc_100_p150
8,ROIs1868_summer_lc_100_p151
17,ROIs1868_summer_lc_100_p154
17,ROIs1868_summer_lc_100_p155
17,ROIs1868_summer_lc_100_p156
17,ROIs1868_summer_lc_100_p157
17,ROIs1868_summer_lc_100_p158
17,ROIs1868_summer_lc_100_p159
17,ROIs1868_summer_lc_100_p160
17,ROIs1868_summer_lc_100_p161
17,ROIs1868_summer_lc_100_p162
17,ROIs1868_summer_lc_100_p163
17,ROIs1868_summer_lc_100_p164
17,ROIs1868_summer_lc_100_p165
17,ROIs1868_summer_lc_100_p166
17,ROIs1868_summer_lc_100_p167
17,ROIs1868_summer_lc_100_p168
17,ROIs1868_summer_lc_100_p169
9,ROIs1868_summer_lc_100_p170
10,ROIs1868_summer_lc_100_p171
10,ROIs1868_summer_lc_100_p172
9,ROIs1868_summer_lc_100_p173
10,ROIs1868_summer_lc_100_p175
8,ROIs1868_summer_lc_100_p176
8,ROIs1868_summer_lc_100_p177
8,ROIs1868_summer_lc_100_p178
8,ROIs1868_summer_lc_100_p179
8,ROIs1868_summer_lc_100_p184
8,ROIs1868_summer_lc_100_p185
13,ROIs1868_summer_lc_100_p186
17,ROIs1868_summer_lc_100_p187
17,ROIs1868_summer_lc_100_p188
17,ROIs1868_summer_lc_100_p189
17,ROIs1868_summer_lc_100_p190
