mode_value,filename
12,ROIs2017_winter_lc_102_p100
12,ROIs2017_winter_lc_102_p101
14,ROIs2017_winter_lc_102_p102
14,ROIs2017_winter_lc_102_p103
14,ROIs2017_winter_lc_102_p104
12,ROIs2017_winter_lc_102_p105
12,ROIs2017_winter_lc_102_p106
12,ROIs2017_winter_lc_102_p107
12,ROIs2017_winter_lc_102_p108
12,ROIs2017_winter_lc_102_p109
12,ROIs2017_winter_lc_102_p110
12,ROIs2017_winter_lc_102_p111
9,ROIs2017_winter_lc_102_p112
9,ROIs2017_winter_lc_102_p113
9,ROIs2017_winter_lc_102_p114
9,ROIs2017_winter_lc_102_p115
10,ROIs2017_winter_lc_102_p116
10,ROIs2017_winter_lc_102_p117
10,ROIs2017_winter_lc_102_p118
10,ROIs2017_winter_lc_102_p119
10,ROIs2017_winter_lc_102_p120
12,ROIs2017_winter_lc_102_p121
12,ROIs2017_winter_lc_102_p122
12,ROIs2017_winter_lc_102_p125
12,ROIs2017_winter_lc_102_p126
12,ROIs2017_winter_lc_102_p127
12,ROIs2017_winter_lc_102_p128
12,ROIs2017_winter_lc_102_p129
12,ROIs2017_winter_lc_102_p130
12,ROIs2017_winter_lc_102_p131
12,ROIs2017_winter_lc_102_p132
12,ROIs2017_winter_lc_102_p133
14,ROIs2017_winter_lc_102_p134
14,ROIs2017_winter_lc_102_p135
12,ROIs2017_winter_lc_102_p136
12,ROIs2017_winter_lc_102_p137
12,ROIs2017_winter_lc_102_p138
12,ROIs2017_winter_lc_102_p139
12,ROIs2017_winter_lc_102_p140
12,ROIs2017_winter_lc_102_p141
12,ROIs2017_winter_lc_102_p142
14,ROIs2017_winter_lc_102_p143
9,ROIs2017_winter_lc_102_p144
9,ROIs2017_winter_lc_102_p145
9,ROIs2017_winter_lc_102_p146
9,ROIs2017_winter_lc_102_p147
9,ROIs2017_winter_lc_102_p148
9,ROIs2017_winter_lc_102_p149
9,ROIs2017_winter_lc_102_p150
9,ROIs2017_winter_lc_102_p151
14,ROIs2017_winter_lc_102_p152
12,ROIs2017_winter_lc_102_p153
12,ROIs2017_winter_lc_102_p156
12,ROIs2017_winter_lc_102_p157
12,ROIs2017_winter_lc_102_p158
12,ROIs2017_winter_lc_102_p159
12,ROIs2017_winter_lc_102_p160
12,ROIs2017_winter_lc_102_p161
12,ROIs2017_winter_lc_102_p162
12,ROIs2017_winter_lc_102_p163
12,ROIs2017_winter_lc_102_p164
12,ROIs2017_winter_lc_102_p165
12,ROIs2017_winter_lc_102_p166
12,ROIs2017_winter_lc_102_p167
12,ROIs2017_winter_lc_102_p168
12,ROIs2017_winter_lc_102_p169
12,ROIs2017_winter_lc_102_p170
12,ROIs2017_winter_lc_102_p171
12,ROIs2017_winter_lc_102_p172
12,ROIs2017_winter_lc_102_p173
12,ROIs2017_winter_lc_102_p174
14,ROIs2017_winter_lc_102_p175
9,ROIs2017_winter_lc_102_p176
9,ROIs2017_winter_lc_102_p177
9,ROIs2017_winter_lc_102_p178
9,ROIs2017_winter_lc_102_p179
9,ROIs2017_winter_lc_102_p180
14,ROIs2017_winter_lc_102_p181
14,ROIs2017_winter_lc_102_p182
14,ROIs2017_winter_lc_102_p183
14,ROIs2017_winter_lc_102_p184
12,ROIs2017_winter_lc_102_p187
12,ROIs2017_winter_lc_102_p188
12,ROIs2017_winter_lc_102_p189
12,ROIs2017_winter_lc_102_p190
12,ROIs2017_winter_lc_102_p191
12,ROIs2017_winter_lc_102_p192
12,ROIs2017_winter_lc_102_p193
12,ROIs2017_winter_lc_102_p194
12,ROIs2017_winter_lc_102_p195
12,ROIs2017_winter_lc_102_p196
12,ROIs2017_winter_lc_102_p197
12,ROIs2017_winter_lc_102_p198
12,ROIs2017_winter_lc_102_p199
12,ROIs2017_winter_lc_102_p200
12,ROIs2017_winter_lc_102_p201
12,ROIs2017_winter_lc_102_p202
12,ROIs2017_winter_lc_102_p203
12,ROIs2017_winter_lc_102_p204
12,ROIs2017_winter_lc_102_p205
14,ROIs2017_winter_lc_102_p206
12,ROIs2017_winter_lc_102_p207
12,ROIs2017_winter_lc_102_p208
12,ROIs2017_winter_lc_102_p209
